基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银高端制造股票,000793,6.60亿元（2019-12-31）,5.76%,26.08%,28.01%,31.75%,5.25%,8.30%,黄安乐,1年又276天,21.55%,8年又107天
金鹰信息产业股票A,003853,5.24亿元（2019-12-31）,2.50%,34.98%,40.03%,44.64%,--,110.07%,樊勇,94天,39.54%,1年又147天
建信潜力新蓝筹股票,000756,0.70亿元（2019-12-31）,6.01%,16.67%,16.00%,13.81%,19.50%,62.40%,许杰,5年又180天,62.40%,12年又270天
上投摩根卓越制造股票,001126,17.93亿元（2019-12-31）,4.74%,18.42%,23.95%,53.77%,49.65%,6.10%,李德辉,1年又266天,63.23%,3年又110天
汇丰晋信价值先锋股票,004350,1.26亿元（2019-12-31）,7.61%,15.92%,18.16%,26.30%,--,52.66%,吴培文,84天,12.27%,4年又160天
大摩睿成中小盘弹性股票,003312,0.56亿元（2019-12-31）,5.79%,15.70%,13.33%,10.10%,-7.42%,-6.98%,陈健夫,196天,19.35%,1年又219天
长信量化中小盘股票,519975,6.30亿元（2019-12-31）,14.37%,25.65%,28.34%,30.47%,-6.86%,39.89%,左金保,4年又361天,36.08%,4年又361天
创金合信资源股票发起式A,003624,0.60亿元（2019-12-31）,10.78%,21.12%,20.90%,23.55%,14.35%,17.27%,李游,3年又126天,17.27%,3年又126天
创金合信资源股票发起式C,003625,0.59亿元（2019-12-31）,10.74%,20.98%,21.60%,23.96%,12.52%,15.22%,李游,3年又126天,15.22%,3年又126天
华商高端装备制造股票,008009,5.17亿元（2019-12-10）,11.11%,--,--,--,--,16.87%,童立/吴昊,88天,16.87%,3年又330天/2年又225天
国泰智能汽车股票,001790,18.82亿元（2019-12-31）,8.35%,37.41%,62.06%,53.68%,--,33.70%,王阳/周伟锋,205天,70.97%,1年又115天/6年又269天
国寿安保成长优选股票,001521,1.35亿元（2019-12-31）,6.89%,15.00%,26.81%,30.78%,30.81%,41.93%,张标/张琦,1年又338天,15.30%,1年又338天/9年又128天
上投摩根民生需求股票,000524,2.06亿元（2019-12-31）,5.31%,26.32%,34.06%,47.61%,28.88%,162.84%,杨景喻,316天,59.12%,4年又217天
诺安研究精选股票,320022,5.14亿元（2019-12-31）,10.77%,22.53%,25.78%,50.37%,63.63%,180.58%,王创练,4年又344天,61.50%,4年又344天
南方国策动力,001692,2.02亿元（2019-12-31）,4.86%,18.37%,24.94%,52.19%,46.88%,63.69%,罗安安,1年又253天,62.40%,4年又242天
中欧品质消费股票A,005620,0.59亿元（2019-12-31）,15.96%,18.48%,27.67%,47.99%,--,65.17%,郭睿,2年又25天,65.17%,2年又25天
财通集成电路产业股票A,006502,1.41亿元（2019-12-31）,9.13%,25.20%,27.91%,54.64%,--,67.17%,金梓才,1年又99天,67.17%,5年又110天
中欧品质消费股票C,005621,0.22亿元（2019-12-31）,15.88%,18.25%,27.16%,47.47%,--,62.73%,郭睿,2年又25天,62.73%,2年又25天
景顺长城环保优势股票,001975,21.08亿元（2019-12-31）,4.41%,23.15%,31.91%,56.69%,83.18%,131.90%,杨锐文,3年又358天,131.90%,5年又135天
财通集成电路产业股票C,006503,1.13亿元（2019-12-31）,9.06%,24.95%,27.40%,53.42%,--,65.49%,金梓才,1年又99天,65.49%,5年又110天
华商电子行业量化股票,007685,3.76亿元（2019-12-31）,11.68%,32.11%,--,--,--,38.20%,艾定飞/邓默,172天,38.20%,1年又102天/4年又181天
民生加银优选股票,000884,2.75亿元（2019-12-31）,8.75%,11.62%,15.35%,32.21%,55.00%,69.10%,高松,200天,19.84%,4年又260天
华夏能源革新股票,003834,9.32亿元（2019-12-31）,-4.56%,26.84%,37.86%,32.31%,--,38.00%,郑泽鸿,2年又274天,38.00%,2年又274天
工银生态环境股票,001245,10.04亿元（2019-12-31）,5.19%,13.50%,18.64%,36.45%,-0.56%,-10.90%,闫思倩/何肖颉,2年又36天,10.00%,2年又142天/9年又153天
