基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
浦银安盛幸福回报定开债A,519118,1.47亿元（2019-12-31）,0.68%,1.74%,2.13%,4.00%,11.92%,49.23%,刘大巍,166天,2.13%,3年又203天
浦银安盛幸福回报定开债B,519119,0.25亿元（2019-12-31）,0.78%,1.75%,2.04%,3.71%,10.88%,45.57%,刘大巍,166天,2.04%,3年又203天
万家玖盛9个月定开债C,004465,0.00亿元（2019-12-31）,1.59%,3.24%,3.80%,6.81%,--,13.74%,周潜玮,180天,4.00%,2年又7天
创金合信汇誉六个月定开债C,005785,0.01亿元（2019-12-31）,1.61%,2.57%,3.57%,7.20%,--,13.08%,谢创/郑振源,291天,5.75%,1年又178天/4年又298天
山西证券裕睿6个月定开债A,007268,0.51亿元（2019-12-31）,1.01%,1.73%,3.08%,--,--,4.39%,刘凌云,278天,4.39%,2年又179天
广发汇承定期开放债券,006504,3.17亿元（2019-12-31）,1.09%,1.99%,2.87%,4.62%,--,6.03%,李伟/谢军,82天,1.77%,1年又184天/13年又180天
中邮纯债优选一年定开债A,007008,26.45亿元（2019-12-31）,1.06%,1.93%,2.54%,--,--,3.30%,吴昊/张萌,110天,2.14%,4年又209天/7年又108天
鹏扬淳盈6个月定开债A,007429,10.75亿元（2020-02-28）,1.27%,1.82%,2.67%,--,--,3.57%,李沁/陈钟闻,191天,2.80%,191天/2年又210天
宝盈聚享定期开放债券,006946,18.16亿元（2019-12-31）,0.98%,1.84%,2.65%,--,--,3.52%,杨献忠,304天,3.52%,1年又321天
银河铭忆3个月定开债券,005384,32.41亿元（2019-12-31）,1.21%,2.15%,2.98%,5.16%,--,12.27%,刘铭,2年又78天,12.27%,3年又89天
中金新元6个月定开债A,006640,2.01亿元（2019-12-31）,1.00%,1.96%,3.19%,4.27%,--,6.26%,石玉,1年又113天,6.26%,3年又235天
鑫元富利三个月定期开放债,007559,5.10亿元（2019-11-15）,1.65%,2.98%,--,--,--,3.13%,郑文旭/赵慧,115天,3.13%,2年又30天/4年又55天
鹏扬淳盈6个月定开债C,007430,0.00亿元（2020-02-28）,1.23%,1.72%,2.47%,--,--,3.29%,李沁/陈钟闻,191天,2.60%,191天/2年又210天
长信富安纯债半年定开债A,519945,3.56亿元（2019-12-31）,1.36%,1.91%,3.04%,4.97%,16.30%,23.38%,冯彬/胡琼予,148天,2.67%,2年又161天/1年又280天
长信富安纯债半年定开债C,519944,0.14亿元（2019-12-31）,1.31%,1.82%,2.83%,4.55%,14.83%,21.12%,冯彬/胡琼予,148天,2.51%,2年又161天/1年又280天
广发汇立定期开放债券,006137,20.55亿元（2019-12-31）,1.17%,2.05%,2.93%,4.86%,--,6.44%,洪志/谭昌杰/谢军,291天,4.58%,1年又57天/7年又233天/13年又180天
鑫元恒利三个月定开债,007050,11.25亿元（2019-12-31）,1.33%,2.25%,3.15%,--,--,3.27%,郑文旭/赵慧/颜昕,190天,3.17%,2年又30天/4年又55天/4年又256天
银河君辉3个月定开债,519632,5.11亿元（2019-12-31）,0.98%,1.56%,2.20%,4.03%,--,12.12%,蒋磊,1年又77天,4.96%,3年又194天
华泰紫金智惠定开债券A,005465,10.15亿元（2019-12-31）,1.38%,2.25%,3.31%,--,--,6.61%,阮毅/陈晨/李博良,299天,5.97%,1年又128天/1年又2天/2年又196天
中银福建国企债定开债C,006847,0.18亿元（2019-12-31）,1.90%,2.94%,3.45%,--,--,4.51%,易芳菲,256天,4.51%,3年又287天
中银福建国企债定开债A,006846,18.62亿元（2019-12-31）,1.94%,3.04%,3.64%,--,--,4.77%,易芳菲,256天,4.77%,3年又287天
山西证券裕睿6个月定开债C,007269,3.69亿元（2019-12-31）,0.96%,1.63%,2.87%,--,--,4.07%,刘凌云,278天,4.07%,2年又179天
长江乐鑫定开债,006135,10.16亿元（2019-12-31）,0.85%,2.02%,2.84%,4.96%,--,7.65%,漆志伟,1年又204天,7.65%,3年又142天
长江乐越定开债,005828,3.15亿元（2019-12-31）,0.92%,1.34%,1.97%,4.56%,--,10.56%,漆志伟,1年又330天,10.56%,3年又142天
东兴兴瑞一年定开,007769,2.24亿元（2019-12-31）,0.83%,1.75%,2.97%,--,--,2.97%,张琳娜,183天,2.97%,4年又326天
中金浙金6个月定开债,006096,2.12亿元（2019-12-31）,1.34%,2.40%,3.14%,4.39%,--,9.96%,石玉,1年又260天,9.96%,3年又235天
银华中短政策金融债定开债,006415,62.19亿元（2019-12-31）,0.98%,1.83%,2.51%,4.23%,--,6.28%,吴文明,1年又140天,6.28%,2年又358天
太平恒安三个月定开债,007545,1.01亿元（2019-12-31）,0.94%,2.31%,2.67%,--,--,3.07%,吴超,254天,3.07%,2年又24天
广发汇誉3个月定开债,005917,20.13亿元（2019-12-31）,0.67%,1.36%,2.11%,3.87%,--,7.46%,代宇,1年又261天,7.46%,8年又217天
中邮纯债优选一年定开债C,007009,1.40亿元（2019-12-31）,1.01%,1.83%,2.33%,--,--,3.00%,吴昊/张萌,110天,2.02%,4年又209天/7年又108天
招商添旭定开债发起式A,007173,10.25亿元（2019-12-31）,0.65%,1.61%,2.28%,--,--,4.88%,马龙,332天,4.88%,5年又347天
人保福泽一年定期开放债券,006461,3.62亿元（2019-12-31）,-1.13%,0.57%,-0.94%,1.41%,--,2.76%,张玮,116天,-1.67%,3年又257天
天弘季季兴三个月定开A,008644,2.15亿元（2019-12-17）,2.10%,--,--,--,--,2.79%,陈钢/柴文婷,17天,0.86%,8年又112天/2年又332天
永赢汇利六个月定开债,007086,2.02亿元（2019-12-31）,1.60%,2.34%,--,--,--,2.73%,乔嘉麒,145天,2.73%,2年又286天
鑫元瑞利定期开放债券,004459,20.21亿元（2019-12-31）,0.99%,2.10%,1.13%,1.77%,--,12.81%,颜昕,144天,1.76%,4年又256天
前海开源乾利定期开放债券,006949,48.72亿元（2019-12-31）,0.89%,1.68%,2.41%,4.85%,--,4.32%,王旭巍,1年又38天,4.32%,13年又338天
中信建投稳裕定开债C,007552,0.00亿元（2019-12-31）,1.72%,2.64%,--,--,--,2.71%,许健,263天,2.71%,3年又14天
广发汇宏6个月定开债,006378,3.13亿元（2019-12-31）,1.34%,2.36%,3.30%,--,--,4.35%,洪志/谢军,291天,4.44%,1年又57天/13年又180天
中信建投稳瑞定开债,006139,2.72亿元（2019-12-31）,1.30%,2.55%,--,--,--,2.73%,刘博/许健,134天,3.04%,1年又127天/3年又14天
天弘季季兴三个月定开C,008645,0.05亿元（2019-12-17）,2.09%,--,--,--,--,2.77%,陈钢/柴文婷,17天,0.86%,8年又112天/2年又332天
中银泰享定期开放债券,005610,42.82亿元（2019-12-31）,1.28%,2.20%,2.85%,4.76%,--,11.09%,方抗,1年又352天,11.09%,5年又203天
前海开源乾盛定开债A,005720,28.41亿元（2019-12-31）,1.19%,2.60%,3.23%,5.24%,--,11.28%,林悦/刘静,1年又73天,7.20%,1年又73天/9年又133天
广发汇兴3个月定期开放债券,006552,6.65亿元（2019-12-31）,1.41%,2.23%,3.03%,5.69%,--,7.41%,洪志,75天,1.91%,1年又57天
广发汇阳三个月定期开放债券,007256,2.10亿元（2019-11-21）,1.76%,2.52%,--,--,--,2.43%,代宇,107天,2.43%,8年又217天
长江安盈中短债六个月定开,007414,8.59亿元（2019-12-31）,1.00%,1.78%,--,--,--,2.42%,漆志伟,164天,2.42%,3年又142天
光大尊盈半年定开债A,001968,20.32亿元（2019-12-31）,0.94%,2.38%,2.98%,4.79%,--,13.35%,沈荣,1年又349天,9.53%,2年又218天
华夏鼎福三个月定开债A,005791,8.41亿元（2019-12-31）,0.67%,1.93%,2.63%,4.33%,--,6.74%,何家琪,1年又168天,6.74%,3年又184天
银华丰华三个月定开债,007206,10.12亿元（2019-12-31）,1.20%,1.83%,--,--,--,2.44%,吴文明,172天,2.44%,2年又358天
华夏鼎禄三个月定开债券A,005862,6.83亿元（2019-12-31）,1.50%,2.66%,3.35%,4.82%,--,7.75%,刘明宇,1年又148天,7.75%,2年又87天
财通久利三个月定开债发起式,007756,5.13亿元（2019-12-31）,1.25%,2.05%,2.61%,--,--,2.61%,林洪钧,183天,2.61%,5年又301天
易方达年年恒秋一年定开债A,007997,46.60亿元（2019-12-31）,1.29%,2.10%,--,--,--,2.40%,李一硕,128天,2.40%,5年又240天
华安安嘉定开,007370,5.15亿元（2019-12-31）,1.20%,2.19%,--,--,--,2.63%,郑如熙,149天,2.63%,2年又248天
浦银安盛盛诺定开债券,007889,60.21亿元（2019-12-31）,1.39%,1.96%,--,--,--,2.50%,刘大巍,179天,2.50%,3年又203天
格林泓泰三个月定开债A,007710,1.02亿元（2019-12-31）,1.49%,2.31%,--,--,--,3.61%,宋东旭,163天,3.61%,2年又231天
人保安惠三个月定开债,006686,40.53亿元（2019-12-31）,0.21%,2.51%,3.30%,5.60%,--,6.49%,魏瑄,1年又93天,6.49%,2年又209天
中银利享定期开放债券,004844,21.88亿元（2019-12-31）,1.47%,7.02%,6.90%,8.84%,--,18.29%,王妍,2年又72天,18.29%,7年又166天
长信稳通三个月定开债发起式,004887,10.76亿元（2019-12-31）,0.41%,1.13%,1.81%,3.50%,--,9.89%,杜国昊/陆莹,5天,0.00%,99天/3年又69天
博时安祺6个月定开债A,003239,7.12亿元（2019-12-31）,0.91%,1.63%,2.11%,3.73%,10.14%,6.95%,程卓,1年又358天,8.36%,3年又209天
易方达年年恒秋一年定开债C,007998,10.55亿元（2019-12-31）,1.25%,2.02%,--,--,--,2.29%,李一硕,128天,2.29%,5年又240天
广发汇佳定期开放债券,005647,73.30亿元（2019-12-31）,0.97%,1.79%,2.49%,4.05%,--,9.95%,王予柯,1年又361天,9.95%,4年又286天
南方恒庆一年定开债A,007161,60.96亿元（2019-12-31）,0.39%,0.78%,1.49%,--,--,2.18%,郑迎迎,291天,2.18%,7年又9天
中银惠利半年定开债,000372,15.93亿元（2019-12-31）,0.99%,1.97%,2.27%,4.88%,15.40%,46.69%,范静/奚鹏洲,6年又96天,45.38%,6年又96天/9年又295天
浙商汇金聚鑫定开债发起式,006927,5.18亿元（2019-12-31）,1.18%,2.10%,2.80%,--,--,4.76%,应洁茜,228天,3.38%,2年又58天
国泰润鑫定开债发起式,003696,13.16亿元（2019-12-31）,1.42%,2.50%,3.86%,7.13%,--,16.63%,黄志翔,1年又112天,8.51%,3年又121天
南华瑞元定期开放债券,006667,2.14亿元（2019-12-31）,0.91%,2.35%,2.87%,--,--,6.01%,尹粒宇/曹进前/王明德,331天,6.01%,2年又181天/2年又72天/1年又338天
鹏扬淳优一年定期开放债,005398,14.72亿元（2020-02-28）,0.79%,1.85%,2.09%,4.17%,--,13.65%,王莹莹/陈钟闻,1年又196天,8.46%,1年又196天/2年又210天
创金合信泰盈双季红定开债券A,005836,2.02亿元（2019-12-31）,1.05%,1.96%,--,--,--,2.36%,谢创/郑振源,143天,2.36%,1年又178天/4年又298天
创金合信泰盈双季红定开债券C,005837,0.00亿元（2019-12-31）,1.01%,1.88%,--,--,--,2.24%,谢创/郑振源,143天,2.24%,1年又178天/4年又298天
山西证券裕泰3个月定开,007212,7.20亿元（2019-12-31）,1.33%,2.11%,2.72%,--,--,3.78%,刘相鹏/华志贵,282天,3.78%,1年又309天/8年又259天
华安年年丰定开债A,007624,11.81亿元（2019-12-31）,0.95%,1.56%,2.09%,--,--,2.16%,朱才敏,199天,2.16%,5年又109天
易方达年年恒夏一年定开债C,007526,1.61亿元（2019-12-31）,1.30%,2.09%,3.09%,--,--,3.85%,李一硕,240天,3.85%,5年又240天
博时安祺6个月定开债C,003240,0.04亿元（2019-12-31）,0.88%,1.56%,1.96%,3.32%,8.44%,4.97%,程卓,1年又358天,7.33%,3年又209天
博时丰达纯债6个月定开债,003651,52.20亿元（2019-12-31）,0.99%,1.66%,2.32%,4.60%,13.64%,13.64%,程卓,1年又319天,9.84%,3年又209天
南方恒庆一年定开债C,007162,3.50亿元（2019-12-31）,0.34%,0.66%,1.26%,--,--,1.82%,郑迎迎,291天,1.82%,7年又9天
工银瑞泽定开债券,006617,0.62亿元（2019-12-31）,0.20%,0.87%,1.74%,--,--,2.03%,陈桂都,233天,2.03%,3年又187天
中邮纯债汇利定开债,005786,10.20亿元（2019-12-31）,1.45%,2.39%,2.85%,4.20%,--,7.63%,张萌,110天,2.51%,7年又108天
国泰盛合三个月定开债,007532,10.17亿元（2019-12-31）,0.66%,1.78%,--,--,--,2.02%,黄志翔,134天,2.02%,3年又121天
中信建投稳悦债券,008487,7.10亿元（2019-12-30）,1.50%,--,--,--,--,1.80%,许健,68天,1.80%,3年又14天
浦银安盛盛泽定开债券,005898,19.32亿元（2019-12-31）,1.15%,2.02%,2.65%,4.41%,--,7.11%,章潇枫,1年又163天,7.11%,2年又297天
易方达年年恒夏一年定开债A,007525,12.54亿元（2019-12-31）,1.33%,2.17%,3.25%,--,--,4.06%,李一硕,240天,4.06%,5年又240天
中银睿享定开债券,003313,240.63亿元（2019-12-31）,1.04%,1.80%,2.57%,4.54%,15.45%,15.34%,白洁,3年又167天,15.34%,8年又358天
华安年年丰定开债C,007625,1.73亿元（2019-12-31）,0.89%,1.45%,1.88%,--,--,1.93%,朱才敏,199天,1.93%,5年又109天
国泰添瑞一年定开债,008268,6.10亿元（2019-12-11）,1.29%,--,--,--,--,1.82%,陈雷,87天,1.82%,2年又296天
工银泰享三年理财债券,002750,50.23亿元（2019-12-31）,0.40%,0.77%,1.67%,4.04%,8.64%,10.84%,陈桂都,2年又13天,6.72%,3年又187天
博时双月薪定期支付债券,000277,4.40亿元（2019-12-31）,2.48%,3.71%,3.73%,6.94%,18.01%,71.01%,陈凯杨,3年又317天,25.68%,7年又93天
浙商汇金中高等级三个月A,007425,6.08亿元（2019-12-31）,0.75%,1.35%,2.01%,--,--,3.37%,应洁茜,228天,2.74%,2年又58天
银河景行3个月定开债,005790,10.25亿元（2019-12-31）,0.98%,2.44%,3.41%,5.84%,--,11.04%,韩晶/刘铭,1年又59天,6.44%,10年又55天/3年又89天
宝盈聚丰两年定开债券A,006023,0.97亿元（2019-12-31）,0.51%,1.16%,--,--,--,1.76%,李宇昂/邓栋,128天,1.54%,128天/5年又199天
华夏鼎顺三个月定开债A,005364,8.00亿元（2019-12-31）,1.06%,1.77%,2.45%,4.33%,--,6.43%,何家琪,1年又214天,6.43%,3年又184天
鹏扬淳利定期开放债券,006171,20.89亿元（2020-02-28）,1.04%,1.90%,2.16%,4.42%,--,8.00%,王莹莹/陈钟闻,1年又196天,7.92%,1年又196天/2年又210天
招商招诚定开债发起式,005719,6.15亿元（2019-12-31）,1.05%,1.91%,3.09%,4.81%,--,6.34%,郭敏/许强,190天,3.19%,1年又91天/4年又31天
国寿安保泰瑞纯债一年定开债,008503,10.00亿元（2019-12-26）,1.51%,--,--,--,--,1.65%,陶尹斌,72天,1.65%,1年又16天
渤海汇金汇增利3个月定开,005427,0.10亿元（2019-12-31）,0.03%,0.42%,0.77%,1.49%,--,2.65%,李杨,2年又70天,2.65%,2年又213天
广发汇利一年定期开放债券,008296,10.00亿元（2019-12-26）,1.34%,--,--,--,--,1.73%,张芊,72天,1.73%,7年又85天
长盛稳益6个月A,007653,6.66亿元（2019-12-31）,0.07%,0.95%,1.38%,--,--,1.59%,段鹏,225天,1.59%,5年又333天
浙商汇金中高等级三个月C,007442,21.72亿元（2019-12-31）,0.72%,1.28%,1.88%,--,--,3.19%,应洁茜,228天,2.58%,2年又58天
渤海汇金汇添益3个月定开,005428,0.10亿元（2019-12-31）,0.04%,0.43%,0.77%,1.49%,--,2.64%,李杨,2年又70天,2.64%,2年又213天
浙商丰盈纯债六个月定开,006628,3.05亿元（2019-12-31）,-0.48%,0.60%,1.35%,--,--,1.66%,刘爱民,172天,1.27%,2年又52天
中加恒泰定开债券,007478,4.18亿元（2019-12-31）,1.04%,2.10%,2.93%,--,--,3.46%,杨宇俊,220天,3.46%,3年又350天
民生加银聚鑫三年定开债,007736,95.89亿元（2019-12-31）,0.31%,0.70%,1.40%,--,--,1.42%,胡振仓,185天,1.42%,10年又315天
中欧同益一年定期开放债券,008739,10.00亿元（2019-12-31）,1.37%,--,--,--,--,1.52%,赵国英,67天,1.52%,1年又199天
工银瑞安3个月定开纯债债券,007852,20.10亿元（2019-12-25）,1.25%,--,--,--,--,1.51%,陈桂都,73天,1.51%,3年又187天
诺安稳固收益一年定开债,000235,17.37亿元（2019-12-31）,1.40%,1.78%,2.37%,4.93%,16.10%,35.80%,裴禹翔,3年又344天,15.20%,4年又31天
德邦德瑞一年定开债,008486,8.10亿元（2019-12-13）,1.17%,--,--,--,--,1.69%,杨严/戴鹤忠,80天,1.67%,108天/3年又265天
博时富进一年期定开债发起式,008651,2.10亿元（2019-12-19）,1.09%,--,--,--,--,1.47%,王申,79天,1.47%,4年又291天
平安乐享一年定开债A,007758,22.44亿元（2019-12-31）,0.33%,0.73%,1.33%,--,--,1.35%,段玮婧,185天,1.35%,3年又62天
汇添富盛安39个月定开债,007948,78.92亿元（2019-12-31）,0.35%,0.75%,--,--,--,1.32%,胡娜,165天,1.32%,4年又146天
长盛稳益6个月C,007654,3.29亿元（2019-12-31）,0.03%,0.85%,1.16%,--,--,1.33%,段鹏,225天,1.33%,5年又333天
宝盈聚丰两年定开债券C,006024,1.65亿元（2019-12-31）,0.48%,1.09%,--,--,--,1.63%,李宇昂/邓栋,128天,1.44%,128天/5年又199天
广发理财年年红债券,270043,45.34亿元（2019-12-31）,0.30%,0.59%,1.10%,2.86%,11.09%,31.52%,谢军/谭昌杰,2年又246天,10.87%,13年又180天/7年又233天
鑫元安睿三年定开债,007761,15.15亿元（2019-12-31）,0.37%,0.78%,1.51%,--,--,1.58%,郭卉/郑文旭/王美芹,86天,0.72%,86天/2年又30天/3年又215天
华富安兴39个月定开债C,008019,0.00亿元（2019-12-31）,0.44%,0.92%,--,--,--,1.29%,倪莉莎,128天,1.29%,2年又177天
蜂巢丰业一年定开债发起式,008568,10.10亿元（2020-02-28）,1.25%,--,--,--,--,1.32%,李海涛/廖新昌,22天,0.78%,234天/1年又37天
万家民安增利12个月定开债A,007488,5.36亿元（2019-12-31）,0.28%,0.51%,0.93%,--,--,1.12%,郅元/侯慧娣,71天,0.41%,1年又227天/5年又210天
华泰柏瑞锦泰一年定开,007867,4.05亿元（2020-02-21）,0.28%,0.57%,--,--,--,1.07%,陈东,172天,1.07%,7年又99天
中融睿享86个月定开债C,008049,0.00亿元（2019-12-31）,0.44%,0.89%,--,--,--,1.17%,哈默,128天,1.17%,4年又168天
中融睿享86个月定开债A,008048,141.76亿元（2019-12-31）,0.45%,0.92%,--,--,--,1.21%,哈默,128天,1.21%,4年又168天
华宝宝惠债券,007957,61.00亿元（2019-11-08）,0.35%,0.73%,--,--,--,0.92%,林昊,120天,0.92%,2年又356天
银华稳晟39个月定开债,008002,103.50亿元（2019-11-05）,0.37%,0.78%,--,--,--,1.01%,赵旭东,123天,1.01%,123天
鹏华尊泰一年定开发起式债券,008493,10.00亿元（2019-12-25）,0.88%,--,--,--,--,0.97%,刘涛,73天,0.97%,3年又285天
鹏华锦利两年定开债,007682,7.65亿元（2019-12-31）,0.23%,0.46%,0.96%,--,--,0.97%,戴钢,185天,0.97%,8年又92天
南方远利3个月定开债,008226,2.10亿元（2019-12-20）,1.03%,--,--,--,--,1.30%,王啸,78天,1.30%,3年又89天
华夏鼎诺三个月定开债A,004979,15.10亿元（2019-12-31）,0.79%,1.06%,1.01%,1.12%,--,5.37%,刘明宇,61天,0.87%,2年又87天
南方恒新39个月A,007567,10.49亿元（2019-12-31）,0.38%,1.00%,1.98%,--,--,2.30%,何康,220天,2.30%,5年又112天
中欧盈和债券,007535,70.18亿元（2019-12-31）,0.50%,1.06%,1.94%,--,--,2.37%,洪慧梅/赵国英/王慧杰,204天,2.12%,4年又31天/1年又199天/4年又66天
国寿安保安泽39个月定开债,007970,117.50亿元（2019-11-13）,0.35%,0.74%,--,--,--,0.92%,阚磊,115天,0.92%,1年又17天
平安乐享一年定开债C,007759,0.38亿元（2019-12-31）,0.30%,0.65%,1.16%,--,--,1.18%,段玮婧,185天,1.18%,3年又62天
华富安兴39个月定开债A,008018,69.28亿元（2019-12-31）,0.30%,0.63%,--,--,--,0.87%,倪莉莎,128天,0.87%,2年又177天
农银汇理丰泽三年定开债,007496,100.64亿元（2019-12-31）,0.34%,0.73%,1.55%,--,--,1.64%,郭振宇/王明君/周宇,184天,1.55%,1年又34天/194天/1年又245天
国联安恒利63个月定开债A,007999,82.28亿元（2019-11-07）,0.34%,0.69%,--,--,--,0.88%,陈建华/薛琳,121天,0.88%,1年又108天/7年又241天
博时稳欣39个月定开债,008117,180.00亿元（2019-11-19）,0.34%,0.73%,--,--,--,0.85%,倪玉娟,109天,0.85%,1年又333天
富国汇远三年定开债A,007990,107.53亿元（2019-11-26）,0.35%,0.73%,--,--,--,0.86%,张波/朱梦娜,67天,0.53%,2年又38天/1年又15天
南方恒新39个月C,007568,0.55亿元（2019-12-31）,0.35%,0.94%,1.85%,--,--,2.15%,何康,220天,2.15%,5年又112天
南方创利3个月定开债,008039,30.10亿元（2020-01-02）,0.70%,--,--,--,--,0.83%,金凌志,65天,0.83%,2年又223天
长信富瑞两年定开债券A,005718,5.88亿元（2019-12-31）,0.21%,0.43%,0.96%,--,--,0.97%,杜国昊/陆莹/姜锡峰/胡琼予,5天,0.00%,99天/3年又69天/3年又225天/1年又280天
前海联合淳安3年定开债券,008160,61.01亿元（2019-11-29）,0.37%,0.77%,--,--,--,0.84%,敬夏玺,102天,0.84%,3年又202天
中融睿嘉39个月定开债C,008047,0.00亿元（2019-11-26）,0.34%,0.70%,--,--,--,0.77%,李倩,102天,0.77%,5年又139天
华安鑫福定开债A,008214,122.00亿元（2019-11-26）,0.36%,0.75%,--,--,--,0.82%,孙丽娜,102天,0.82%,5年又191天
长城嘉鑫两年定开债A,008287,75.00亿元（2019-12-12）,0.36%,--,--,--,--,0.72%,徐涛国,86天,0.72%,2年又259天
长城嘉鑫两年定开债C,008288,0.00亿元（2019-12-12）,0.33%,--,--,--,--,0.67%,徐涛国,86天,0.67%,2年又259天
长城嘉裕六个月定开债A,008171,3.00亿元（2019-12-19）,0.37%,--,--,--,--,0.71%,徐涛国,79天,0.71%,2年又259天
中融睿嘉39个月定开债A,008046,50.00亿元（2019-11-26）,0.35%,0.73%,--,--,--,0.80%,李倩,102天,0.80%,5年又139天
天弘鑫利三年定开,008014,128.21亿元（2019-11-29）,0.38%,0.79%,--,--,--,0.82%,陈钢/柴文婷,78天,0.68%,8年又112天/2年又332天
长城嘉裕六个月定开债C,008172,0.00亿元（2019-12-19）,0.34%,--,--,--,--,0.66%,徐涛国,79天,0.66%,2年又259天
万家民安增利12个月定开债C,007489,0.01亿元（2019-12-31）,0.22%,0.39%,0.70%,--,--,0.84%,郅元/侯慧娣,71天,0.31%,1年又227天/5年又210天
国联安恒利63个月定开债C,008000,0.00亿元（2019-11-07）,0.30%,0.61%,--,--,--,0.78%,陈建华/薛琳,121天,0.78%,1年又108天/7年又241天
华安鑫福定开债C,008215,0.00亿元（2019-11-26）,0.34%,0.69%,--,--,--,0.75%,孙丽娜,102天,0.75%,5年又191天
中加享润两年定开债,007928,72.16亿元（2019-12-31）,0.30%,0.63%,--,--,--,0.67%,李瑾懿,4天,0.00%,121天
富国汇远三年定开债C,007991,0.00亿元（2019-11-26）,0.30%,0.63%,--,--,--,0.74%,张波/朱梦娜,67天,0.45%,2年又38天/1年又15天
华夏恒泰64个月定开债券,008349,71.01亿元（2019-12-20）,0.40%,--,--,--,--,0.67%,张海静,78天,0.67%,1年又1天
光大保德信尊泰定开债,006565,41.00亿元（2019-12-05）,0.35%,0.70%,--,--,--,0.70%,魏丽,93天,0.70%,3年又308天
诺安瑞鑫定开债券,000521,40.60亿元（2019-12-31）,0.97%,2.62%,3.42%,5.24%,--,12.00%,潘飞,2年又70天,12.00%,3年又183天
广发汇优66个月定期开放债券,008130,144.50亿元（2019-12-05）,0.39%,0.82%,--,--,--,0.82%,刘志辉/高翔/张芊,75天,0.64%,3年又111天/1年又329天/7年又85天
南方宁利一年定开债发起式,008780,5.10亿元（2020-01-15）,0.80%,--,--,--,--,0.74%,刘文良/杜才超,22天,0.43%,4年又201天/3年又89天
人保添利9个月定开A,007607,1.76亿元（2019-11-07）,0.29%,0.41%,--,--,--,0.61%,魏瑄,121天,0.61%,2年又209天
长信富瑞两年定开债券C,007428,0.22亿元（2019-12-31）,0.18%,0.37%,0.83%,--,--,0.84%,杜国昊/陆莹/姜锡峰/胡琼予,5天,0.00%,99天/3年又69天/3年又225天/1年又280天
东方卓行18个月定开债券A,008322,10.61亿元（2019-12-27）,0.28%,--,--,--,--,0.66%,刘长俊/吴萍萍,65天,0.61%,2年又11天/3年又352天
西部利得尊逸三年定开债券,008219,42.00亿元（2019-12-05）,0.33%,0.65%,--,--,--,0.66%,刘心峰/韩丽楠,92天,0.65%,3年又19天/4年又216天
创金合信汇嘉三个月定开,008031,0.10亿元（2019-12-09）,0.08%,--,--,--,--,0.57%,郑振源,89天,0.57%,4年又298天
万家惠享39个月定开债,007979,111.72亿元（2020-02-28）,0.30%,0.66%,--,--,--,0.70%,陈奕雯/尹诚庸,100天,0.70%,1年又15天/4年又219天
海富通裕通30个月定开债,008231,55.30亿元（2019-12-20）,0.32%,--,--,--,--,0.55%,张靖爽,78天,0.55%,3年又229天
财通资管丰和两年定开债A,007913,33.40亿元（2019-12-04）,0.25%,0.56%,--,--,--,0.56%,李杰,94天,0.56%,7年又61天
华夏恒益18个月定开债券,007591,62.24亿元（2019-12-31）,0.31%,0.63%,1.31%,--,--,1.33%,何家琪,185天,1.33%,3年又184天
中信保诚嘉裕五年定开债,008429,90.00亿元（2019-12-24）,0.31%,--,--,--,--,0.53%,吴胤希,74天,0.53%,3年又145天
国泰聚盈三年定期开放债券,008217,51.00亿元（2019-12-26）,0.29%,--,--,--,--,0.50%,陈雷,72天,0.50%,2年又296天
平安乐顺39个月定开债A,008596,110.00亿元（2019-12-25）,0.33%,--,--,--,--,0.54%,段玮婧,73天,0.54%,3年又62天
博时富洋一年定开债发起式,008829,10.00亿元（2020-01-15）,0.46%,--,--,--,--,0.51%,王申,52天,0.51%,4年又291天
农银汇理丰盈三年定开债,007573,44.51亿元（2019-12-04）,0.28%,0.59%,--,--,--,0.60%,王明君/郭振宇,94天,0.60%,194天/1年又34天
交银裕泰两年定期开放债券,008223,116.50亿元（2019-12-10）,0.29%,--,--,--,--,0.58%,魏玉敏/于海颖,88天,0.58%,1年又191天/9年又103天
华安鑫浦定开债C,008676,0.00亿元（2020-01-10）,0.38%,--,--,--,--,0.47%,孙丽娜,57天,0.47%,5年又191天
中加享利三年债券,007680,91.87亿元（2019-12-31）,0.35%,0.74%,1.42%,--,--,1.49%,于跃,4天,0.00%,17天
招商招和39个月定开债,008460,92.00亿元（2019-12-25）,0.30%,--,--,--,--,0.49%,康晶,73天,0.49%,4年又216天
平安乐顺39个月定开债C,008597,0.00亿元（2019-12-25）,0.29%,--,--,--,--,0.49%,段玮婧,73天,0.49%,3年又62天
财通资管丰和两年定开债C,007914,0.00亿元（2019-12-04）,0.21%,0.46%,--,--,--,0.46%,李杰,94天,0.46%,7年又61天
华安鑫浦定开债A,008675,80.00亿元（2020-01-10）,0.41%,--,--,--,--,0.51%,孙丽娜,57天,0.51%,5年又191天
博时稳悦63个月定开债,008674,80.00亿元（2020-01-13）,0.36%,--,--,--,--,0.43%,邓欣雨,54天,0.43%,6年又165天
东方卓行18个月定开债券C,008323,0.76亿元（2019-12-27）,0.24%,--,--,--,--,0.57%,刘长俊/吴萍萍,65天,0.54%,2年又11天/3年又352天
